Feature,Importance
rolling_mean_3h,0.34161466
ema_3h,0.33797592
rolling_max_3h,0.06868249
lag_2h,0.05514919
lag_1h,0.04476847
rolling_min_3h,0.04460666
rolling_min_24h,0.009336029
rolling_max_6h,0.007986462
rolling_max_12h,0.0075665787
rolling_min_6h,0.0073503978
lag_24h,0.0061197425
hour_cos,0.005865672
rolling_min_12h,0.005138501
ema_6h,0.004996753
zone_freq,0.004316375
lag_168h,0.004275272
rolling_std_3h,0.00390391
hour_sin,0.0030243418
lag_3h,0.0029825412
rolling_max_24h,0.0024080463
ema_12h,0.002302621
lag_12h,0.002289766
rolling_std_6h,0.0021389625
lag_4h,0.0020571563
lag_same_hour_1d,0.0019359809
rolling_std_12h,0.0018753099
lag_5h,0.0016687649
is_night,0.0016675249
dayofweek_sin,0.0016073635
rolling_mean_6h,0.0014940012
lag_6h,0.0014586647
rolling_mean_24h,0.0011781956
hour,0.0011743548
is_rush_hour,0.0011418798
dayofweek_cos,0.0010912779
rolling_mean_12h,0.0010910339
dayofmonth,0.0010680062
borough_Manhattan,0.00091505575
rolling_std_24h,0.0008908221
ema_24h,0.0007884617
weekofyear,0.00065088435
dayofweek,0.00057207333
is_weekend,0.0004334375
borough_Queens,0.00032078446
borough_Unknown,0.0001181091
service_green_trip,7.8408556e-07
service_yellow_trip,4.6530164e-07
borough_Staten Island,1.054522e-07
borough_EWR,6.7567996e-08
borough_Brooklyn,5.263927e-08
borough_Bronx,2.0985494e-08
lag_same_hour_2d,0.0
year,0.0
month_sin,0.0
lag_same_hour_7d,0.0
month,0.0
month_cos,0.0
