model_name,month,train_period,test_period,train_rmse,test_rmse,test_size
xgboost,2019-01,2019-01-01 → 2019-01-26,2019-01-26 → 2019-01-31,1.5667547896388858,5.716853669215324,70499
xgboost,2019-02,2019-02-01 → 2019-02-23,2019-02-23 → 2019-02-28,7.671257972362037,9.79484149093816,69212
xgboost,2019-03,2019-03-01 → 2019-03-26,2019-03-26 → 2019-03-31,12.145381919414174,10.65948671606527,70499
xgboost,2019-04,2019-04-01 → 2019-04-25,2019-04-25 → 2019-04-30,8.377367119618484,7.502851416901156,71500
xgboost,2019-05,2019-05-01 → 2019-05-26,2019-05-26 → 2019-05-31,7.862837270590408,6.194358850630501,72930
xgboost,2019-06,2019-06-01 → 2019-06-25,2019-06-25 → 2019-06-30,11.354488819823748,12.348639651620575,73359
xgboost,2019-07,2019-07-01 → 2019-07-26,2019-07-26 → 2019-07-31,12.913746887304427,12.114837985136548,72072
xgboost,2019-08,2019-08-01 → 2019-08-26,2019-08-26 → 2019-08-31,12.823911362268978,11.44895603142743,73073
xgboost,2019-09,2019-09-01 → 2019-09-25,2019-09-25 → 2019-09-30,18.4406750666583,14.281082679364243,73788
xgboost,2019-10,2019-10-01 → 2019-10-26,2019-10-26 → 2019-10-31,15.13075241214466,14.268785344138491,73502
xgboost,2019-11,2019-11-01 → 2019-11-25,2019-11-25 → 2019-11-30,12.817364069911196,10.427323565450088,73645
xgboost,2019-12,2019-12-01 → 2019-12-26,2019-12-26 → 2019-12-31,16.981111049797526,9.409101515869263,73645
xgboost,2020-01,2020-01-01 → 2020-01-26,2020-01-26 → 2020-01-31,35.25366746634612,39.91414971861248,72930
xgboost,2020-02,2020-02-01 → 2020-02-24,2020-02-24 → 2020-02-29,32.040293218833824,35.472876141308305,73073
xgboost,2020-03,2020-03-01 → 2020-03-26,2020-03-26 → 2020-03-31,33.48446011049121,1.304078844641309,72930
xgboost,2020-04,2020-04-01 → 2020-04-25,2020-04-25 → 2020-04-30,0.9288079972441506,1.1679651400536084,69212
xgboost,2020-05,2020-05-01 → 2020-05-26,2020-05-26 → 2020-05-31,1.0636582950240958,1.1634988276849232,72644
xgboost,2020-06,2020-06-01 → 2020-06-25,2020-06-25 → 2020-06-30,2.306543956381819,3.3034276739655417,72215
xgboost,2020-07,2020-07-01 → 2020-07-26,2020-07-26 → 2020-07-31,4.8278517102863905,5.573535982062979,72501
xgboost,2020-08,2020-08-01 → 2020-08-26,2020-08-26 → 2020-08-31,5.256593806719185,5.313502955095513,72644
xgboost,2020-09,2020-09-01 → 2020-09-25,2020-09-25 → 2020-09-30,10.836174824369163,11.484263820815723,71929
xgboost,2020-10,2020-10-01 → 2020-10-26,2020-10-26 → 2020-10-31,13.35802054395393,14.83621075738977,72787
xgboost,2020-11,2020-11-01 → 2020-11-25,2020-11-25 → 2020-11-30,14.415715915416177,12.026266997873588,72930
xgboost,2020-12,2020-12-01 → 2020-12-26,2020-12-26 → 2020-12-31,21.226109264550544,18.676607062923757,73073
xgboost,2021-01,2021-01-01 → 2021-01-26,2021-01-26 → 2021-01-31,21.152569948282988,21.8133688315732,72501
xgboost,2021-02,2021-02-01 → 2021-02-23,2021-02-23 → 2021-02-28,21.513119011907385,23.43308679536199,72358
xgboost,2021-03,2021-03-01 → 2021-03-26,2021-03-26 → 2021-03-31,48.388806266643364,50.03517702359373,72930
