iter	Passed	Remaining
0	4	14707
1	8	13480
2	12	12515
3	15	11604
4	19	11684
5	22	11215
6	26	11530
7	30	11345
8	33	11041
9	36	10903
10	39	10702
11	43	10718
12	46	10670
13	49	10619
14	53	10549
15	56	10591
16	61	10819
17	65	10780
18	68	10783
19	72	10788
20	78	11091
21	83	11277
22	86	11201
23	90	11203
24	94	11238
25	97	11152
26	100	11096
27	103	11019
28	107	11028
29	114	11383
30	118	11316
31	121	11272
32	127	11487
33	134	11749
34	138	11708
35	141	11627
36	145	11670
37	149	11634
38	152	11594
39	155	11538
40	159	11499
41	162	11458
42	165	11401
43	168	11337
44	172	11301
45	175	11268
46	179	11247
47	182	11196
48	187	11277
49	190	11231
50	193	11181
51	198	11253
52	202	11236
53	206	11290
54	210	11257
55	213	11239
56	216	11201
57	220	11173
58	225	11232
59	229	11223
60	232	11199
61	237	11243
62	245	11453
63	250	11501
64	254	11492
65	257	11446
66	260	11401
67	263	11358
68	268	11403
69	272	11387
70	276	11394
71	279	11369
72	284	11393
73	289	11443
74	295	11532
75	301	11583
76	305	11600
77	309	11581
78	312	11570
79	317	11589
80	320	11566
81	325	11587
82	328	11559
83	332	11552
84	340	11678
85	344	11664
86	347	11642
87	355	11762
88	359	11773
89	363	11767
90	368	11777
91	374	11839
92	379	11868
93	385	11913
94	391	11963
95	394	11948
96	399	11944
97	403	11933
98	406	11900
99	410	11895
100	414	11889
101	417	11868
102	423	11921
103	427	11894
104	431	11897
105	435	11894
106	439	11878
107	442	11853
108	447	11874
109	451	11850
110	454	11817
111	460	11867
112	466	11910
113	471	11941
114	474	11906
115	478	11907
116	482	11880
117	485	11853
118	488	11837
119	495	11891
120	499	11893
121	503	11886
122	507	11865
123	511	11855
124	514	11830
125	517	11806
126	521	11787
127	525	11781
128	528	11758
129	531	11730
130	534	11706
131	537	11680
132	540	11659
133	545	11673
134	550	11672
135	553	11662
136	559	11695
137	563	11687
138	567	11674
139	570	11650
140	573	11632
141	578	11636
142	581	11616
143	584	11600
144	588	11585
145	593	11594
146	597	11595
147	600	11580
148	607	11623
149	611	11619
150	614	11597
151	618	11582
152	621	11569
153	626	11585
154	630	11572
155	633	11556
156	639	11577
157	642	11558
158	648	11589
159	651	11570
160	655	11558
161	659	11550
162	662	11536
163	665	11513
164	668	11491
165	672	11477
166	675	11461
167	678	11438
168	682	11424
169	684	11402
170	689	11410
171	693	11399
172	697	11392
173	700	11378
174	704	11365
175	707	11356
176	714	11401
177	721	11434
178	728	11475
179	731	11464
180	734	11443
181	739	11456
182	745	11471
183	748	11454
184	751	11440
185	756	11437
186	760	11437
187	763	11426
188	767	11417
189	771	11409
190	774	11397
191	778	11381
192	781	11371
193	786	11371
194	790	11363
195	793	11353
196	797	11353
197	803	11368
198	808	11381
199	812	11368
200	815	11354
201	819	11353
202	823	11344
203	827	11340
204	831	11332
205	834	11323
206	838	11311
207	841	11297
208	844	11280
209	847	11265
210	851	11257
211	855	11246
212	858	11234
213	861	11217
214	864	11204
215	869	11211
216	873	11202
217	876	11187
218	879	11173
219	884	11175
220	888	11167
221	891	11153
222	895	11153
223	899	11146
224	903	11143
225	907	11134
226	910	11123
227	914	11114
228	917	11103
229	921	11098
230	925	11090
231	928	11076
232	932	11071
233	939	11106
234	944	11110
235	948	11104
236	952	11104
237	955	11090
238	958	11073
239	961	11059
240	965	11055
241	969	11044
242	972	11029
243	975	11013
244	977	10997
245	981	10986
246	984	10975
247	987	10961
248	991	10955
249	995	10950
250	998	10940
251	1004	10954
252	1008	10947
253	1014	10965
254	1018	10959
255	1021	10953
256	1025	10946
257	1030	10951
258	1034	10947
259	1037	10935
260	1040	10921
261	1043	10907
262	1048	10911
263	1051	10897
