,in_degree,out_degree,asymmetry
JFK Airport,0.9961685823754789,1.0,-0.003831417624521105
Kips Bay,0.9923371647509578,0.9961685823754789,-0.003831417624521105
NA,0.9923371647509578,0.9923371647509578,0.0
TriBeCa/Civic Center,0.9923371647509578,0.9961685823754789,-0.003831417624521105
Times Sq/Theatre District,0.9923371647509578,1.0,-0.00766283524904221
Lenox Hill East,0.9885057471264367,0.9961685823754789,-0.00766283524904221
East Harlem South,0.9885057471264367,0.9961685823754789,-0.00766283524904221
East Village,0.9885057471264367,0.9961685823754789,-0.00766283524904221
Greenwich Village North,0.9885057471264367,0.9961685823754789,-0.00766283524904221
East Harlem North,0.9885057471264367,0.9846743295019157,0.003831417624520994
East Chelsea,0.9885057471264367,0.9961685823754789,-0.00766283524904221
LaGuardia Airport,0.9846743295019157,0.9961685823754789,-0.011494252873563204
Murray Hill,0.9846743295019157,1.0,-0.01532567049808431
Sunset Park West,0.9846743295019157,0.9885057471264367,-0.003831417624520994
Washington Heights South,0.9846743295019157,0.9923371647509578,-0.007662835249042099
Sutton Place/Turtle Bay North,0.9846743295019157,0.9961685823754789,-0.011494252873563204
Midtown South,0.9846743295019157,0.9961685823754789,-0.011494252873563204
UN/Turtle Bay South,0.9846743295019157,0.9923371647509578,-0.007662835249042099
Flatbush/Ditmas Park,0.9808429118773946,0.9885057471264367,-0.007662835249042099
Financial District North,0.9808429118773946,0.9923371647509578,-0.011494252873563204
Astoria,0.9808429118773946,0.9923371647509578,-0.011494252873563204
East New York,0.9808429118773946,0.9885057471264367,-0.007662835249042099
World Trade Center,0.9808429118773946,0.9885057471264367,-0.007662835249042099
Upper East Side South,0.9808429118773946,0.9961685823754789,-0.01532567049808431
Penn Station/Madison Sq West,0.9808429118773946,0.9961685823754789,-0.01532567049808431
Clinton East,0.9808429118773946,0.9961685823754789,-0.01532567049808431
Bay Ridge,0.9770114942528735,0.9808429118773946,-0.003831417624521105
Clinton Hill,0.9770114942528735,0.9846743295019157,-0.00766283524904221
Central Harlem North,0.9770114942528735,0.9846743295019157,-0.00766283524904221
Canarsie,0.9770114942528735,0.9770114942528735,0.0
Midtown East,0.9770114942528735,0.9923371647509578,-0.01532567049808431
East Elmhurst,0.9770114942528735,0.9923371647509578,-0.01532567049808431
Gramercy,0.9770114942528735,0.9961685823754789,-0.019157088122605415
Lenox Hill West,0.9770114942528735,0.9923371647509578,-0.01532567049808431
NV,0.9770114942528735,0.9961685823754789,-0.019157088122605415
Sunnyside,0.9770114942528735,0.9923371647509578,-0.01532567049808431
Midtown Center,0.9770114942528735,0.9961685823754789,-0.019157088122605415
Clinton West,0.9731800766283525,0.9923371647509578,-0.019157088122605304
Bedford,0.9731800766283525,0.9770114942528735,-0.003831417624520994
Downtown Brooklyn/MetroTech,0.9731800766283525,0.9923371647509578,-0.019157088122605304
Brooklyn Heights,0.9731800766283525,0.9923371647509578,-0.019157088122605304
Crown Heights North,0.9731800766283525,0.9808429118773946,-0.007662835249042099
