Model,Feature,Importance,Saved_At
lightgbm,lag_1h,17348.0,2025-10-02 13:33:01
lightgbm,lag_2h,13551.0,2025-10-02 13:33:01
lightgbm,lag_168h,12207.0,2025-10-02 13:33:01
lightgbm,lag_24h,12131.0,2025-10-02 13:33:01
lightgbm,rolling_mean_3h,11465.0,2025-10-02 13:33:01
lightgbm,lag_3h,10382.0,2025-10-02 13:33:01
lightgbm,rolling_mean_6h,8857.0,2025-10-02 13:33:01
lightgbm,rolling_mean_24h,7614.0,2025-10-02 13:33:01
lightgbm,rolling_mean_12h,7338.0,2025-10-02 13:33:01
lightgbm,dayofmonth,7190.0,2025-10-02 13:33:01
lightgbm,ema_3h,6975.0,2025-10-02 13:33:01
lightgbm,pickup_zone,6831.0,2025-10-02 13:33:01
lightgbm,rolling_mean_168h,5841.0,2025-10-02 13:33:01
lightgbm,hour,4553.0,2025-10-02 13:33:01
lightgbm,hour_cos_x_peak,3953.0,2025-10-02 13:33:01
lightgbm,dayofweek,3646.0,2025-10-02 13:33:01
lightgbm,ema_6h,3501.0,2025-10-02 13:33:01
lightgbm,hour_sin_x_peak,3370.0,2025-10-02 13:33:01
lightgbm,hour_sin,2974.0,2025-10-02 13:33:01
lightgbm,ema_12h,2835.0,2025-10-02 13:33:01
lightgbm,ema_168h,2711.0,2025-10-02 13:33:01
lightgbm,hour_cos,2648.0,2025-10-02 13:33:01
lightgbm,ema_24h,2542.0,2025-10-02 13:33:01
lightgbm,dayofweek_cos,2493.0,2025-10-02 13:33:01
lightgbm,zone_mean,2084.0,2025-10-02 13:33:01
lightgbm,dayofweek_sin,1706.0,2025-10-02 13:33:01
lightgbm,zone_cv,1426.0,2025-10-02 13:33:01
lightgbm,zone_rush_hour_ratio,1344.0,2025-10-02 13:33:01
lightgbm,zone_off_peak_demand,1300.0,2025-10-02 13:33:01
lightgbm,zone_weekend_ratio,1295.0,2025-10-02 13:33:01
lightgbm,weekend_zone_effect,1283.0,2025-10-02 13:33:01
lightgbm,rush_zone_effect,1038.0,2025-10-02 13:33:01
lightgbm,zone_peak_demand,996.0,2025-10-02 13:33:01
lightgbm,zone_peak_hour,964.0,2025-10-02 13:33:01
lightgbm,zone_weekday_mean,924.0,2025-10-02 13:33:01
lightgbm,zone_weekend_mean,883.0,2025-10-02 13:33:01
lightgbm,zone_hour_variance,857.0,2025-10-02 13:33:01
lightgbm,time_volatility,811.0,2025-10-02 13:33:01
lightgbm,zone_off_peak_hour,621.0,2025-10-02 13:33:01
lightgbm,zone_median,512.0,2025-10-02 13:33:01
lightgbm,is_zone_peak_hour,449.0,2025-10-02 13:33:01
lightgbm,is_weekend,324.0,2025-10-02 13:33:01
lightgbm,is_rush_hour,283.0,2025-10-02 13:33:01
lightgbm,time_of_day,280.0,2025-10-02 13:33:01
lightgbm,is_zone_off_peak_hour,74.0,2025-10-02 13:33:01
lightgbm,pickup_borough,16.0,2025-10-02 13:33:01
lightgbm,service_type,1.0,2025-10-02 13:33:01
ridge,ema_3h,106.8633612944056,2025-10-02 13:33:01
ridge,ema_12h,7.7180951151756,2025-10-02 13:33:01
ridge,rolling_mean_12h,1.161129299430979,2025-10-02 13:33:01
ridge,ema_168h,0.20122795151569467,2025-10-02 13:33:01
ridge,lag_24h,0.011468988082273463,2025-10-02 13:33:01
ridge,lag_168h,0.0060580333368005015,2025-10-02 13:33:01
ridge,time_volatility,0.001897099143975305,2025-10-02 13:33:01
ridge,time_of_day_evening,0.0016045090193073969,2025-10-02 13:33:01
