Feature,Importance
ema_3h,0.73757386
lag_168h,0.1918287
lag_24h,0.015483828
hour_cos,0.006983703
rolling_mean_3h,0.0059590004
rolling_max_12h,0.004975326
is_night,0.004678181
lag_3h,0.0044177393
hour,0.0035427099
rolling_max_3h,0.0033567895
rolling_min_3h,0.002460449
lag_2h,0.0021618027
rolling_std_3h,0.0019831029
rolling_mean_6h,0.0015708165
lag_1h,0.0014215504
rolling_std_12h,0.001145903
pickup_borough_Queens,0.0009293253
pickup_borough_Manhattan,0.0007520364
rolling_max_24h,0.00065818627
is_rush_hour,0.0006370259
rolling_std_6h,0.00060069555
rolling_max_6h,0.0005983311
zone_encoded,0.0005274301
hour_sin,0.0004951244
rolling_mean_168h,0.0004613529
rolling_mean_12h,0.00043556996
rolling_std_168h,0.0003673495
rolling_max_168h,0.0003346178
dayofweek,0.00027211313
ema_6h,0.00025446544
dayofweek_cos,0.00025199755
ema_168h,0.00023664931
rolling_min_12h,0.00021976387
weekofyear,0.0002152508
dayofweek_sin,0.00019772278
rolling_std_24h,0.00018105138
rolling_min_168h,0.00017272517
weekofyear_cos,0.00017101274
dayofmonth,0.00016912151
rolling_min_24h,0.00016822717
dayofmonth_sin,0.0001677966
weekofyear_sin,0.00016174863
rolling_min_6h,0.00015991036
dayofmonth_cos,0.00015576782
rolling_mean_24h,0.00014695305
is_weekend,0.00014595628
ema_12h,0.00011459802
ema_24h,9.662708e-05
service_type_yellow_trip,0.0
pickup_borough_Bronx,0.0
pickup_borough_Brooklyn,0.0
pickup_borough_EWR,0.0
pickup_borough_Staten Island,0.0
pickup_borough_Unknown,0.0
service_type_green_trip,0.0
