pickup_datetime,pickup_zone,pickup_borough,service_type,prediction,model_used,prediction_timestamp,prediction_lower,prediction_upper,forecast_step
2025-09-01 00:00:00,East Chelsea,Manhattan,yellow_trip,140,LGBMRegressor,2025-10-01 17:12:33.138628,112,168,1
2025-09-01 01:00:00,East Chelsea,Manhattan,yellow_trip,138,LGBMRegressor,2025-10-01 17:12:33.262916,110,165,2
2025-09-01 02:00:00,East Chelsea,Manhattan,yellow_trip,139,LGBMRegressor,2025-10-01 17:12:33.385317,111,166,3
2025-09-01 03:00:00,East Chelsea,Manhattan,yellow_trip,138,LGBMRegressor,2025-10-01 17:12:33.492791,110,165,4
2025-09-01 04:00:00,East Chelsea,Manhattan,yellow_trip,133,LGBMRegressor,2025-10-01 17:12:33.601190,106,159,5
2025-09-01 05:00:00,East Chelsea,Manhattan,yellow_trip,133,LGBMRegressor,2025-10-01 17:12:33.712770,106,159,6
2025-09-01 06:00:00,East Chelsea,Manhattan,yellow_trip,135,LGBMRegressor,2025-10-01 17:12:33.818515,108,162,7
2025-09-01 07:00:00,East Chelsea,Manhattan,yellow_trip,135,LGBMRegressor,2025-10-01 17:12:33.918637,108,162,8
2025-09-01 08:00:00,East Chelsea,Manhattan,yellow_trip,136,LGBMRegressor,2025-10-01 17:12:34.028511,108,163,9
2025-09-01 09:00:00,East Chelsea,Manhattan,yellow_trip,137,LGBMRegressor,2025-10-01 17:12:34.128501,109,164,10
2025-09-01 10:00:00,East Chelsea,Manhattan,yellow_trip,140,LGBMRegressor,2025-10-01 17:12:34.227846,112,168,11
2025-09-01 11:00:00,East Chelsea,Manhattan,yellow_trip,141,LGBMRegressor,2025-10-01 17:12:34.332663,112,169,12
2025-09-01 12:00:00,East Chelsea,Manhattan,yellow_trip,140,LGBMRegressor,2025-10-01 17:12:34.430831,112,168,13
2025-09-01 13:00:00,East Chelsea,Manhattan,yellow_trip,141,LGBMRegressor,2025-10-01 17:12:34.535363,112,169,14
2025-09-01 14:00:00,East Chelsea,Manhattan,yellow_trip,141,LGBMRegressor,2025-10-01 17:12:34.633720,112,169,15
2025-09-01 15:00:00,East Chelsea,Manhattan,yellow_trip,143,LGBMRegressor,2025-10-01 17:12:34.735521,114,171,16
2025-09-01 16:00:00,East Chelsea,Manhattan,yellow_trip,141,LGBMRegressor,2025-10-01 17:12:34.833566,112,169,17
2025-09-01 17:00:00,East Chelsea,Manhattan,yellow_trip,143,LGBMRegressor,2025-10-01 17:12:34.931854,114,171,18
