model_name,month,train_period,test_period,train_rmse,test_rmse,mape,test_size
xgboost,2019-01,2019-01-01 → 2021-06-30,2021-06-30 → 2021-09-30,2.632384187,1.339518086,,1166813
xgboost,2019-01,2019-01-01 → 2021-03-30,2021-03-30 → 2021-09-30,0.298002912,0.971087313,,2321597
xgboost,2019-01,2019-01-01 → 2022-02-28,2022-02-28 → 2022-08-31,1.626480581,1.44467326,,2321597
xgboost,2024-01,2024-01-01 → 2024-01-01,2024-01-01 → 2024-07-01,0.000304986,10.3705878,,2235019
xgboost,2024-01,2024-01-01 → 2024-01-01,2024-01-01 → 2024-07-01,0.000304986,10.3705878,,2235019
xgboost,2024-01,2024-01-01 → 2024-02-29,2024-02-29 → 2024-08-31,1.255716753,2.586930122,,2263890
xgboost,2022-01,2022-01-01 → 2024-06-30,2024-06-30 → 2024-12-31,1.534773946,2.287867201,,2317158
decision_tree,2022-01,2022-01-01 → 2024-06-30,2024-06-30 → 2024-12-31,0.673152593,1.244857664,,2317158
decision_tree,2022-01,2022-01-01 → 2024-12-31,2024-12-31 → 2025-08-31,2.235318692,3.035144466,,3056310
xgboost,2022-01,2022-01-01 → 2024-12-31,2024-12-31 → 2025-08-31,1.072666542,2.402231062,,3056310
decision_tree,2022-01,2022-01-01 → 2024-12-31,2024-12-31 → 2025-08-31,1.469351308,2.213542086,,3056310
decision_tree,2022-01,2022-01-01 → 2024-12-31,2024-12-31 → 2025-08-31,1.477607095,2.223822767,,3056310
decision_tree,2022-01,2022-01-01 → 2024-12-31,2024-12-31 → 2025-08-31,1.508725399,2.244036232,,3056310
ridge,2022-01,2022-01-01 → 2024-12-31,2024-12-31 → 2025-08-31,0.145726622,0.138211053,0.377919365,3056310
LIGHTGBM,2022-01,2022-01-01 → 2024-12-31,2024-12-31 → 2025-08-31,1.799386248,2.757787989,3.386266646,3056310
LIGHTGBM,2024-07,2024-07-01 → 2024-08-01,2024-08-01 → 2024-09-01,4.688441591816701,4.575595075696471,9.772063799707373,381199
LIGHTGBM,2024-07,2024-07-01 → 2024-08-01,2024-08-01 → 2024-09-01,2.6695440933299563,3.1772185220856834,8.759080506391431,381199
LIGHTGBM,2024-07,2024-07-01 → 2024-08-01,2024-08-01 → 2024-09-01,2.669544092073972,3.1766602339767127,8.75908442920093,381199
LIGHTGBM,2024-07,2024-07-01 → 2024-08-01,2024-08-01 → 2024-09-01,4.520797943538782,3.9845848117058793,2.419842254146156,381199
LIGHTGBM,2022-01,2022-01-01 → 2025-07-31,2025-07-31 → 2025-08-31,1.290115742638468,1.3502638342505708,1.167270308508887,400374
LIGHTGBM,2022-01,2022-01-01 → 2025-02-28,2025-02-28 → 2025-08-31,0.8382834443892535,2.9240704769618695,2.267763438350567,2317158
